date,machine_name,region_id,genotype,incubator,sex,status
2016-01-15,ETHOSCOPE_019,10,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_019,11,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_019,12,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_019,13,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_019,14,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_019,15,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_019,16,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_019,17,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_019,18,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_019,19,PERSH,4,U,deadpupa
2016-01-15,ETHOSCOPE_019,20,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_020,1,PERSH,4,U,deadpupa
2016-01-15,ETHOSCOPE_020,2,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_020,3,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_020,4,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_020,5,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_020,6,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_020,7,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_020,8,PERSH,4,U,deadpupa
2016-01-15,ETHOSCOPE_020,9,PERSH,4,U,deadpupa
2016-01-15,ETHOSCOPE_020,10,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_020,11,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_020,12,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_020,13,PERSH,4,U,deadpupa
2016-01-15,ETHOSCOPE_020,14,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_020,15,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_020,16,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_020,17,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_020,18,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_020,19,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_020,20,PERSH,4,M,OK
2016-01-15,ETHOSCOPE_021,1,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_021,2,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_021,3,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_021,4,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_021,5,PERSH,4,F,OK
2016-01-15,ETHOSCOPE_021,6,PERSH,4,U,deadpupa
2016-01-15,ETHOSCOPE_021,7,PERSH,4,F,OK
